iter	RMSE
0	22.43873883
1	22.42821872
2	22.4172808
3	22.40547448
4	22.39658846
5	22.39058069
6	22.38888627
7	22.38640137
8	22.37896703
9	22.37506721
10	22.3695899
11	22.36297369
12	22.35697041
13	22.35102424
14	22.34617602
15	22.34278571
16	22.33873177
17	22.33382916
18	22.32996845
19	22.32979794
20	22.32639292
21	22.3240385
22	22.32119603
23	22.32080586
24	22.31970077
25	22.31846736
26	22.31693889
27	22.31447681
28	22.31386991
29	22.31181785
30	22.30952204
31	22.30705728
32	22.30567436
33	22.30556537
34	22.30429253
35	22.30270402
36	22.3018707
37	22.30178716
38	22.30028947
39	22.29941312
40	22.2980055
41	22.29769512
42	22.29698766
43	22.29691875
44	22.29665356
45	22.29655495
46	22.2959856
47	22.29497331
48	22.29495464
49	22.29466808
50	22.29378089
51	22.2926674
52	22.29184368
53	22.29180417
54	22.29063996
55	22.29000384
56	22.28977501
57	22.2891413
58	22.28907774
59	22.28904258
60	22.28870385
61	22.28869271
62	22.2883392
63	22.28777976
64	22.28755938
65	22.28711228
66	22.2867606
67	22.28619583
68	22.28593636
69	22.2857986
70	22.28551432
71	22.28488705
72	22.28488015
73	22.2845832
74	22.28366655
75	22.2831381
76	22.28293322
77	22.28269963
78	22.28253688
79	22.28212153
80	22.28181331
81	22.28174022
82	22.28142915
83	22.28121369
84	22.28098028
85	22.2805721
86	22.280569
87	22.28043796
88	22.28031186
89	22.27996771
90	22.27971514
91	22.27971153
92	22.27949411
93	22.27925298
94	22.27924618
95	22.27921825
96	22.27909687
97	22.27898059
98	22.27897575
99	22.27878698
100	22.27870792
101	22.27845451
102	22.27845104
103	22.27836223
104	22.27824838
105	22.27818837
106	22.27810175
107	22.27806275
108	22.27799326
109	22.27787905
110	22.27785831
111	22.27779179
112	22.2777178
113	22.27755523
114	22.27748187
115	22.27746136
116	22.27742277
117	22.27739838
118	22.27734669
119	22.27719731
120	22.27707036
121	22.27706256
122	22.27691966
123	22.27689098
124	22.27680359
125	22.27674143
126	22.2766216
127	22.27658343
128	22.27658158
129	22.27658035
130	22.27658033
131	22.27649083
132	22.27643747
133	22.27636107
134	22.27630494
135	22.27618291
136	22.2760244
137	22.27594869
138	22.27588445
139	22.27583951
140	22.27582692
141	22.27581853
142	22.27579058
143	22.27574913
144	22.27571762
145	22.27571596
146	22.2756104
147	22.27557808
148	22.27556287
149	22.27549381
150	22.27544579
151	22.27544559
152	22.27538448
153	22.27536974
154	22.2753661
155	22.2753562
156	22.27531417
157	22.27529462
158	22.27527038
159	22.2752633
160	22.27525733
161	22.27525351
162	22.27521407
163	22.27519019
164	22.27515098
165	22.27507132
166	22.27506839
167	22.27506363
168	22.27505661
169	22.27503844
170	22.27502394
171	22.27499001
172	22.27497705
173	22.27497248
174	22.27495283
175	22.27494962
176	22.27493576
177	22.27491897
178	22.27488956
179	22.27487549
180	22.27484953
181	22.27481323
182	22.27481087
183	22.27475585
184	22.27475272
185	22.27474756
186	22.27474385
187	22.27471999
188	22.27464577
189	22.27460504
190	22.27458412
191	22.27456089
192	22.27455255
193	22.27454777
194	22.27454355
195	22.27452376
196	22.27448878
197	22.27446748
198	22.27446726
199	22.2744248
200	22.27442047
201	22.2744153
202	22.27437495
203	22.274338
204	22.27430386
205	22.27428506
206	22.27427406
207	22.27424686
208	22.27423436
209	22.27421329
210	22.27420059
211	22.27419127
212	22.27418816
213	22.27417566
214	22.27415016
215	22.27412005
216	22.27409696
217	22.27407934
218	22.27406669
219	22.27406394
220	22.27406348
221	22.27406277
222	22.27405517
223	22.2740466
224	22.27402884
225	22.27402157
226	22.27400763
227	22.27400333
228	22.2739931
229	22.27398946
230	22.27397899
231	22.27396536
232	22.27395607
233	22.27394001
234	22.27392521
235	22.27391359
236	22.27391061
237	22.2738991
238	22.27388815
239	22.27388809
240	22.27387936
241	22.27387016
242	22.27386142
243	22.2738545
244	22.2738529
245	22.27384558
246	22.27384265
247	22.2738391
248	22.27383286
249	22.27383277
250	22.27382837
251	22.27382722
252	22.27382581
253	22.27382489
254	22.27382335
255	22.27381841
256	22.27381485
257	22.27381111
258	22.2738072
259	22.27380653
260	22.27380554
261	22.27380458
262	22.27380189
263	22.27379962
264	22.2737976
265	22.27379485
266	22.27379427
267	22.27379227
268	22.27379125
269	22.27378957
270	22.27378829
271	22.27378775
272	22.27378605
273	22.27378598
274	22.27378568
275	22.27378417
276	22.27378372
277	22.2737823
278	22.2737819
279	22.27378065
280	22.27377982
281	22.27377948
282	22.27377852
283	22.27377837
284	22.27377826
285	22.27377754
286	22.27377658
287	22.27377637
288	22.27377543
289	22.27377528
290	22.27377451
291	22.2737738
292	22.27377357
293	22.27377286
294	22.27377243
