iter	RMSE
295	22.27377189
296	22.27377153
297	22.27377142
298	22.27377136
299	22.27377109
300	22.27377099
301	22.2737707
302	22.2737706
303	22.27377015
304	22.27377009
305	22.27376967
306	22.27376964
307	22.27376945
308	22.27376916
309	22.27376894
310	22.27376867
311	22.27376841
312	22.27376836
313	22.27376811
314	22.27376789
315	22.27376769
316	22.27376755
317	22.2737674
318	22.27376737
319	22.27376733
320	22.27376719
321	22.27376702
322	22.27376688
323	22.27376688
324	22.27376675
325	22.27376668
326	22.27376655
327	22.27376649
328	22.27376647
329	22.27376637
330	22.27376635
331	22.27376627
332	22.27376619
333	22.27376618
334	22.27376618
335	22.27376611
336	22.27376609
337	22.27376608
338	22.27376603
339	22.27376602
340	22.27376595
341	22.27376589
342	22.27376586
343	22.27376586
344	22.27376581
345	22.27376576
346	22.27376571
347	22.27376567
348	22.27376563
349	22.27376563
350	22.27376559
351	22.27376555
352	22.27376555
353	22.27376552
354	22.2737655
355	22.27376547
356	22.27376546
357	22.27376545
358	22.27376543
359	22.27376541
360	22.27376541
361	22.27376539
362	22.27376538
363	22.27376538
364	22.27376537
365	22.27376537
366	22.27376535
367	22.27376534
368	22.27376534
369	22.27376533
370	22.27376532
371	22.27376532
372	22.27376531
373	22.27376531
374	22.2737653
375	22.27376529
376	22.27376529
377	22.27376528
378	22.27376528
379	22.27376528
380	22.27376528
381	22.27376527
382	22.27376526
383	22.27376526
384	22.27376525
385	22.27376525
386	22.27376525
387	22.27376525
388	22.27376525
389	22.27376525
390	22.27376524
391	22.27376524
392	22.27376524
393	22.27376524
394	22.27376524
395	22.27376523
396	22.27376523
397	22.27376523
398	22.27376523
399	22.27376522
400	22.27376522
401	22.27376522
402	22.27376522
403	22.27376521
404	22.27376521
405	22.27376521
406	22.27376521
407	22.27376521
408	22.27376521
409	22.27376521
410	22.27376521
411	22.27376521
412	22.2737652
413	22.2737652
414	22.2737652
415	22.2737652
416	22.2737652
417	22.2737652
418	22.2737652
419	22.2737652
420	22.27376519
421	22.27376519
422	22.27376519
423	22.27376519
424	22.27376519
425	22.27376519
426	22.27376519
427	22.27376519
428	22.27376519
429	22.27376519
430	22.27376519
431	22.27376519
432	22.27376519
433	22.27376519
434	22.27376519
435	22.27376519
436	22.27376519
437	22.27376519
438	22.27376519
439	22.27376519
440	22.27376519
441	22.27376519
442	22.27376518
443	22.27376518
444	22.27376518
445	22.27376518
446	22.27376518
447	22.27376518
448	22.27376518
449	22.27376518
450	22.27376518
451	22.27376518
452	22.27376518
453	22.27376518
454	22.27376518
455	22.27376518
456	22.27376518
457	22.27376518
458	22.27376518
459	22.27376518
460	22.27376518
461	22.27376518
462	22.27376518
463	22.27376518
464	22.27376518
465	22.27376518
466	22.27376518
467	22.27376518
468	22.27376518
469	22.27376518
470	22.27376518
471	22.27376518
472	22.27376518
473	22.27376518
474	22.27376518
475	22.27376518
476	22.27376518
477	22.27376518
478	22.27376518
479	22.27376518
480	22.27376518
481	22.27376518
482	22.27376518
483	22.27376518
484	22.27376518
485	22.27376518
486	22.27376518
487	22.27376518
488	22.27376518
489	22.27376518
490	22.27376518
491	22.27376518
492	22.27376518
493	22.27376518
494	22.27376518
495	22.27376518
496	22.27376518
497	22.27376518
498	22.27376518
499	22.27376518
